지역,지역랜딩URL,지점명,지점랜딩URL,정보수준
서울특별시,https://healthboypass.co.kr/area/seoul,가락점,https://healthboypass.co.kr/branch/garak,rich
서울특별시,https://healthboypass.co.kr/area/seoul,가산역점,https://healthboypass.co.kr/branch/gasanyeok,normal
서울특별시,https://healthboypass.co.kr/area/seoul,가양역점,https://healthboypass.co.kr/branch/gayangyeok,normal
서울특별시,https://healthboypass.co.kr/area/seoul,강남고속터미널점,https://healthboypass.co.kr/branch/gangnamgosokteomineol,rich
서울특별시,https://healthboypass.co.kr/area/seoul,강남역점,https://healthboypass.co.kr/branch/gangnamyeok,rich
서울특별시,https://healthboypass.co.kr/area/seoul,건대스타시티몰점,https://healthboypass.co.kr/branch/geondaeseutasitimol,rich
서울특별시,https://healthboypass.co.kr/area/seoul,당산역점,https://healthboypass.co.kr/branch/dangsanyeok,low
서울특별시,https://healthboypass.co.kr/area/seoul,문래역점,https://healthboypass.co.kr/branch/munraeyeok,normal
서울특별시,https://healthboypass.co.kr/area/seoul,문정역점,https://healthboypass.co.kr/branch/munjeongyeok,normal
서울특별시,https://healthboypass.co.kr/area/seoul,불광점,https://healthboypass.co.kr/branch/bulgwang,rich
서울특별시,https://healthboypass.co.kr/area/seoul,상암MBC점,https://healthboypass.co.kr/branch/sangammbc,low
서울특별시,https://healthboypass.co.kr/area/seoul,서울시청점,https://healthboypass.co.kr/branch/seoulsicheong,low
서울특별시,https://healthboypass.co.kr/area/seoul,선릉점,https://healthboypass.co.kr/branch/seonreung,normal
서울특별시,https://healthboypass.co.kr/area/seoul,신논현점,https://healthboypass.co.kr/branch/sinnonhyeon,normal
서울특별시,https://healthboypass.co.kr/area/seoul,신촌점,https://healthboypass.co.kr/branch/sinchon,rich
서울특별시,https://healthboypass.co.kr/area/seoul,양천향교역점,https://healthboypass.co.kr/branch/yangcheonhyanggyoyeok,low
서울특별시,https://healthboypass.co.kr/area/seoul,여의도역점,https://healthboypass.co.kr/branch/yeouidoyeok,rich
서울특별시,https://healthboypass.co.kr/area/seoul,여의도점,https://healthboypass.co.kr/branch/yeouido,normal
서울특별시,https://healthboypass.co.kr/area/seoul,영등포점,https://healthboypass.co.kr/branch/yeongdeungpo,normal
서울특별시,https://healthboypass.co.kr/area/seoul,을지로점,https://healthboypass.co.kr/branch/euljiro,normal
서울특별시,https://healthboypass.co.kr/area/seoul,잠실점,https://healthboypass.co.kr/branch/jamsil,normal
서울특별시,https://healthboypass.co.kr/area/seoul,장안점,https://healthboypass.co.kr/branch/jangan,normal
서울특별시,https://healthboypass.co.kr/area/seoul,학동역점,https://healthboypass.co.kr/branch/hakdongyeok,rich
서울특별시,https://healthboypass.co.kr/area/seoul,홍대점,https://healthboypass.co.kr/branch/hongdae,normal
경기도,https://healthboypass.co.kr/area/gyeonggi,고양행신점,https://healthboypass.co.kr/branch/goyanghaengsin,low
경기도,https://healthboypass.co.kr/area/gyeonggi,광교점,https://healthboypass.co.kr/branch/gwanggyo,normal
경기도,https://healthboypass.co.kr/area/gyeonggi,권선점,https://healthboypass.co.kr/branch/gwonseon,rich
경기도,https://healthboypass.co.kr/area/gyeonggi,망포점,https://healthboypass.co.kr/branch/mangpo,rich
경기도,https://healthboypass.co.kr/area/gyeonggi,매탄점,https://healthboypass.co.kr/branch/maetan,rich
경기도,https://healthboypass.co.kr/area/gyeonggi,미금점,https://healthboypass.co.kr/branch/migeum,normal
경기도,https://healthboypass.co.kr/area/gyeonggi,배곧점,https://healthboypass.co.kr/branch/baegot,rich
경기도,https://healthboypass.co.kr/area/gyeonggi,병점점,https://healthboypass.co.kr/branch/byeongjeom,normal
경기도,https://healthboypass.co.kr/area/gyeonggi,부천역점,https://healthboypass.co.kr/branch/bucheonyeok,low
경기도,https://healthboypass.co.kr/area/gyeonggi,비전점,https://healthboypass.co.kr/branch/bijeon,rich
경기도,https://healthboypass.co.kr/area/gyeonggi,상록수역점,https://healthboypass.co.kr/branch/sangroksuyeok,low
경기도,https://healthboypass.co.kr/area/gyeonggi,상현점,https://healthboypass.co.kr/branch/sanghyeon,normal
경기도,https://healthboypass.co.kr/area/gyeonggi,수내점,https://healthboypass.co.kr/branch/sunae,low
경기도,https://healthboypass.co.kr/area/gyeonggi,수지점,https://healthboypass.co.kr/branch/suji,low
경기도,https://healthboypass.co.kr/area/gyeonggi,안산중앙점,https://healthboypass.co.kr/branch/ansanjungang,normal
경기도,https://healthboypass.co.kr/area/gyeonggi,영통판타지움점,https://healthboypass.co.kr/branch/yeongtongpantajium,low
경기도,https://healthboypass.co.kr/area/gyeonggi,인계점,https://healthboypass.co.kr/branch/ingye,rich
경기도,https://healthboypass.co.kr/area/gyeonggi,일산주엽점,https://healthboypass.co.kr/branch/ilsanjuyeop,rich
경기도,https://healthboypass.co.kr/area/gyeonggi,정자점,https://healthboypass.co.kr/branch/jeongja,normal
경기도,https://healthboypass.co.kr/area/gyeonggi,죽전점,https://healthboypass.co.kr/branch/jukjeon,rich
경기도,https://healthboypass.co.kr/area/gyeonggi,천천점,https://healthboypass.co.kr/branch/cheoncheon,rich
경기도,https://healthboypass.co.kr/area/gyeonggi,철산점,https://healthboypass.co.kr/branch/cheolsan,low
경기도,https://healthboypass.co.kr/area/gyeonggi,판교역점,https://healthboypass.co.kr/branch/pangyoyeok,rich
경기도,https://healthboypass.co.kr/area/gyeonggi,평택역점,https://healthboypass.co.kr/branch/pyeongtaekyeok,rich
대전광역시,https://healthboypass.co.kr/area/daejeon,NC대전유성점,https://healthboypass.co.kr/branch/ncdaejeonyuseong,low
대전광역시,https://healthboypass.co.kr/area/daejeon,가오점,https://healthboypass.co.kr/branch/gao,low
대전광역시,https://healthboypass.co.kr/area/daejeon,관저점,https://healthboypass.co.kr/branch/gwanjeo,normal
대전광역시,https://healthboypass.co.kr/area/daejeon,대전시청점,https://healthboypass.co.kr/branch/daejeonsicheong,normal
대전광역시,https://healthboypass.co.kr/area/daejeon,대전터미널점,https://healthboypass.co.kr/branch/daejeonteomineol,rich
대전광역시,https://healthboypass.co.kr/area/daejeon,도안점,https://healthboypass.co.kr/branch/doan,normal
대전광역시,https://healthboypass.co.kr/area/daejeon,둔산점,https://healthboypass.co.kr/branch/dunsan,rich
대전광역시,https://healthboypass.co.kr/area/daejeon,목원대점,https://healthboypass.co.kr/branch/mokwondae,normal
대전광역시,https://healthboypass.co.kr/area/daejeon,송촌점,https://healthboypass.co.kr/branch/songchon,low
대전광역시,https://healthboypass.co.kr/area/daejeon,월평점,https://healthboypass.co.kr/branch/wolpyeong,normal
대전광역시,https://healthboypass.co.kr/area/daejeon,탄방점,https://healthboypass.co.kr/branch/tanbang,rich
대전광역시,https://healthboypass.co.kr/area/daejeon,태평점,https://healthboypass.co.kr/branch/taepyeong,normal
대전광역시,https://healthboypass.co.kr/area/daejeon,테크노밸리점,https://healthboypass.co.kr/branch/tekeunobaelri,normal
부산광역시,https://healthboypass.co.kr/area/busan,당리점,https://healthboypass.co.kr/branch/dangri,normal
부산광역시,https://healthboypass.co.kr/area/busan,서면점,https://healthboypass.co.kr/branch/seomyeon,rich
부산광역시,https://healthboypass.co.kr/area/busan,하단점,https://healthboypass.co.kr/branch/hadan,low
충청남도,https://healthboypass.co.kr/area/chungnam,신부점,https://healthboypass.co.kr/branch/sinbu,low
충청남도,https://healthboypass.co.kr/area/chungnam,쌍용점,https://healthboypass.co.kr/branch/ssangyong,rich
충청북도,https://healthboypass.co.kr/area/chungbuk,복대점,https://healthboypass.co.kr/branch/bokdae,rich
울산광역시,https://healthboypass.co.kr/area/ulsan,삼산점,https://healthboypass.co.kr/branch/samsan,low
