지점명,종류,브랜드_클린,로드 머신/핀 머신/랙/스미스/케이블/유산소,부위 선택,기구명_클린,댓 수,기타,운동_부위_및_기능
nc 유성점,머신,뉴텍,플레이트 로드 머신,상체,트라이셉스 익스텐션 (Triceps Extension) 머신,1,,팔 (삼두근)
nc 유성점,머신,뉴텍,플레이트 로드 머신,상체,벤트 오버 레터럴 레이즈 (Bent-Over Lateral Raise) 머신,1,,어깨 (후면 삼각근)
nc 유성점,머신,뉴텍,플레이트 로드 머신,상체,T-바 로우 (T-Bar Row),1,,"등 (광배근, 중앙 등 근육)"
nc 유성점,머신,뉴텍,플레이트 로드 머신,상체,와이드 그립 체스트 프레스 (Wide Grip Chest Press),1,,가슴 (대흉근)
nc 유성점,머신,뉴텍,플레이트 로드 머신,상체,벤치 프레스 (Bench Press),1,,가슴 (대흉근)
nc 유성점,머신,뉴텍,플레이트 로드 머신,상체,인클라인 체스트 프레스 (Incline Chest Press),1,,"가슴 (윗가슴), 어깨"
nc 유성점,머신,뉴텍,플레이트 로드 머신,상체,와이드 그립 풀 다운 (Wide Grip Pulldown),1,,등 (광배근)
nc 유성점,머신,뉴텍,플레이트 로드 머신,상체,로우 로우 (Low Row),1,,"등 (광배근 하부, 중앙 등 근육)"
nc 유성점,머신,뉴텍,플레이트 로드 머신,상체,시티드 로우/롱 풀 (Seated Row / Long Pull),1,,등 (중앙 등 근육)
nc 유성점,머신,뉴텍,플레이트 로드 머신,하체,핵 프레스 (Hack Press),1,,"하체 (대퇴사두근, 둔근)"
nc 유성점,머신,뉴텍,플레이트 로드 머신,하체,핵 스쿼트 (Hack Squat),1,,"하체 (대퇴사두근, 둔근)"
nc 유성점,머신,뉴텍,플레이트 로드 머신,하체,레그 프레스 (Leg Press),1,,"하체 (대퇴사두근, 둔근, 햄스트링)"
nc 유성점,머신,뉴텍,플레이트 로드 머신,하체,리버스 하이퍼 익스텐션 (Reverse Hyper Extension),1,,"허리 (척추 기립근), 둔근, 햄스트링"
nc 유성점,머신,뉴텍,핀 머신,상체,레터럴 레이즈 (Lateral Raise) 머신,1,,어깨 (측면 삼각근)
