지점명_표준,종목,입점형태,오픈일,평형 수(전용면적),주차 시설,웨이트브랜드,웨이트기구,유산소_유무,유산소브랜드,트레드밀,GX_유무,GX프로그램,G.X,안마의자_유무,안마의자,스트레칭존_유무,스트레칭존,부대시설_유무,부대시설
가산역점,헬스·필라테스·골프,인수,2001-08-22,500평,주차가능 주차2시간 지원,"DRAX, 개선, 뉴텍, 버텍스, 아스날","뉴텍, 아스날, 개선, 디렉스, 버텍스",TRUE,"스템밀, 헤라","헤라, 스템밀",FALSE,,x,FALSE,x,TRUE,o,TRUE,건식사우나
고양 행신점,헬스·필라테스,신규,,350평,지상6층까지 3시간,"뉴텍, 짐레코, 파나타","뉴텍,파나타,짐레코",TRUE,"DRAX, 마이미운틴, 스테어클라이머, 싸이클","디랙스(런닝머신,싸이클,마이미운틴,스테어클라이머)",FALSE,,x,FALSE,x,TRUE,o,TRUE,카페
당산역점,헬스·필라테스,신규,2016-08-22,250평,주차 유료 2시간 가능,"뉴텍, 마스터프로, 부티빌더, 아스날, 테크노짐","뉴텍,아스날,테크노짐,부티빌더,마스터프로",TRUE,DRAX,디렉스,FALSE,,x,FALSE,x,TRUE,o,FALSE,x
대전 터미널점,헬스·필라테스·골프,신규,2006-03-23,400평,,뉴텍,뉴텍,TRUE,"DRAX, 마이마운틴, 스탭밀, 싸이클","디렉스(런닝머신,싸이클,스탭밀,마이마운틴)",FALSE,,X,FALSE,X,TRUE,O,FALSE,X
배곧점,헬스·필라테스,인수,2001-06-23,400평,지하주차장 3시간 무료,"너틸너스, 뉴텍, 부티빌더, 스타트랙, 아스날, 해머스트렝스","뉴텍,부티빌더,스타트렉,헤머,너틸너스,아스날스트렝스",TRUE,"DRAX, 마이마운틴, 스텝밀, 싸이클","디렉스(런닝머신,싸이클,스텝밀,마이마운틴)",TRUE,"스피닝, 줌바, 요가, 그룹운동","스피닝, 줌바, 요가, 그룹운동",TRUE,o,TRUE,o,TRUE,"힐링존,카페테리아"
부천역점,헬스·필라테스·골프,인수,2020-08-22,783평,주차 2시간 30분 무료,"DRAX, 뉴텍, 프라임, 해머스트렝스, 호이스트","뉴텍,해머 스트랭스,프라임,호이스트,디랙스",TRUE,"매트릭스, 헤라","헤라,매트릭스",TRUE,O,O,TRUE,O,TRUE,O,TRUE,건식사우나
불광점,헬스·필라테스,신규,,250평,지하주차장 2시간 무료,"너틸러스, 뉴텍, 로저스, 부티빌더, 스타트랙, 아스날, 짐레코, 해머스트렝스","로저스,짐레코,스타트렉,뉴텍, 헤머, 부티빌더, 아스널, 너틸러스",TRUE,"DRAX, 마이마운틴, 스텝밀, 싸이클","디랙스(러링머신,싸이클,스텝밀,마이마운틴)",TRUE,기구필라테스,기구필라테스,TRUE,o,TRUE,o,TRUE,힐링존
서울시청점,헬스·필라테스,신규,2016-08-22,500평,"지상, 지하 최대 2시간 무료","DRAX, 뉴텍","뉴텍, 디랙스",TRUE,"DRAX, 마이미운틴, 스테어클라이머, 싸이클","디랙스(런닝머신,싸이클,마이미운틴,스테어클라이머)",FALSE,,X,FALSE,x,TRUE,o,FALSE,x
안산 상록수점,헬스·필라테스,인수,2027-03-23,440평,시간무제한 ,"뉴텍, 싸이벡스, 아스날, 짐80, 테크노짐, 해머스트렝스","뉴텍,테크노짐,아스널,헤머,짐80,사이벡스",TRUE,"DRAX, 마이마운틴, 스텝밀, 싸이클","디렉스(런닝머신,싸이클,스텝밀,마이마운틴)",TRUE,"기구필라테스, 슬릭부스트","기구필라테스,슬릭부스트",FALSE,X,TRUE,O,FALSE,X
안산 중앙점,헬스·필라테스·골프,신규,2023-06-26,1000 평,지하주차장 4시간 무료,"뉴텍, 라이프, 부티빌더, 싸이벡스, 아스날, 짐80, 테크노짐, 파나타, 프라임, 프리모션, 해머스트렝스, 호이스트","뉴텍, 짐80, 라이프, 헤머, 부티빌더, 호이스트, 테크노짐,싸이벡스,파나타,프리모션,프라임,아스날",TRUE,"DRAX, 마이마운틴, 스텝밀, 싸이클","디렉스(런닝머신, 싸이클, 스텝밀, 마이마운틴)",TRUE,"줌바, 요가, 매트필라테스","줌바, 요가, 매트필라테스",FALSE,x,TRUE,o,TRUE,야외테라스 
용문역점,헬스·필라테스,신규,2004-12-23,500평,지하주차장 3시간 무료,"너틸러스, 뉴택, 부티빌더, 스타트랙, 파나타, 해머스트렝스","뉴택,해머,부티빌더,너틸러스,스타트렉,파나타",TRUE,"DRAX, 매트릭스","디렉스, 매트릭스 스텝밀",TRUE,기구필라테스,기구필라테스,FALSE,x,TRUE,ㅇ,FALSE,x
일산 주엽점,헬스·필라테스·골프,신규,2008-05-23,576평,지하3층주차장 3시간 무료,"뉴텍, 해머스트렝스","뉴텍, 해머스트랭스",TRUE,"DRAX, 마이마운틴, 스텝밀, 싸이클","디렉스(런닝머신,싸이클,스텝밀,마이마운틴)",FALSE,,X,FALSE,X,TRUE,O,FALSE,X
지점 명,헬스·필라테스·골프,입점형태,,평형 수(전용면적),주차 시설,웨이트기구,웨이트기구,TRUE,트레드밀,트레드밀,TRUE,G.X,G.X,TRUE,안마의자,TRUE,스트레칭존,TRUE,부대시설
 nc대전유성점,헬스,신규,2025-10-22,150평,주차3시간 무료,"뉴텍, 아틀란티스","뉴텍,아틀란티스",TRUE,DRAX,디렉스,FALSE,,x,FALSE,x,FALSE,0,FALSE,x
 가락점,헬스·필라테스·골프·수영,인수,2021-04-19,2000평,지하주차장 정기권 판매 107중 107대 프라임회원권(300만원) 으로 판매완료 / 그 외 유료,"뉴텍, 싸이벡스, 테크노짐, 프라임, 헤머스트렝스","뉴텍,테크노짐,프라임,헤머스트렝스,싸이벡스",TRUE,헤라9000,헤라 9000,TRUE,"전신근력, 에어로빅, 요가, 매트필라테스","전신근력,에어로빅,요가,매트필라테스",FALSE,X,TRUE,O,TRUE,사우나
 가양역점,헬스·필라테스,인수,2021-12-27,400평,3시간 무료이용,"뉴택, 아틸란티스, 테크노짐, 프라임, 해머스트렝스, 호이스트","테크노짐,해머스트랭스,프라임,아틸란티스,뉴택,호이스트",TRUE,DRAX,디렉스,FALSE,,x,FALSE,X,TRUE,O,FALSE,X
 가오점,헬스·필라테스,신규,2028-12-22,390평,"건물내 지하주차 기계식 무료 , 위든문구 주차타워 2시간 지원","뉴텍, 짐80","뉴텍 , 짐80",TRUE,DRAX,DRAX,TRUE,기구필라테스,기구필라테스,FALSE,x,TRUE,O,TRUE,"크로스핏,야외테라스"
